Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	rate_neo	tree_length
0	-2089.043	-2393.618	304.5754	1.586644	1.805334	0.3119802	3.819135
6	-2085.452	-2390.275	304.8233	1.423988	2.572809	0.3667193	3.456575
12	-2090.42	-2395.604	305.1842	1.265831	2.572809	0.4830583	3.210241
18	-2098.318	-2403.423	305.1052	1.219932	2.218761	0.5526774	3.324067
24	-2095.408	-2400.831	305.4227	1.16752	1.878184	0.3975131	3.44047
30	-2098.75	-2402.167	303.4169	1.208407	2.411964	0.3432041	4.459055
36	-2091.762	-2396.609	304.8471	1.338071	2.435271	0.3432041	3.56082
42	-2098.308	-2403.217	304.9095	1.499387	2.464246	0.4006476	3.353512
48	-2091.324	-2396.795	305.4711	1.626953	1.852554	0.3431392	3.216009
54	-2096.036	-2399.669	303.6327	1.572445	1.852554	0.2257852	4.469357
60	-2106.732	-2410.879	304.1474	1.207595	3.061445	0.3857304	3.824864
66	-2095.573	-2399.781	304.2082	1.244766	1.846192	0.4973708	4.005772
72	-2094.118	-2398.504	304.386	1.337887	2.088992	0.2975081	3.991917
78	-2096.571	-2400.419	303.848	1.472984	2.026823	0.2804109	4.264665
84	-2089.54	-2393.413	303.8728	1.40046	2.110314	0.2804109	4.264665
90	-2096.105	-2400.683	304.5775	1.324513	2.080752	0.4629699	3.701052
96	-2092.496	-2397.143	304.647	1.33329	2.360037	0.4629699	3.568144
102	-2095.951	-2401.354	305.4029	1.440769	2.743074	0.3980056	3.019889
108	-2110.658	-2416.398	305.7404	1.448259	2.423015	0.4913925	2.802969
114	-2112.01	-2417.593	305.5829	1.381466	2.31661	0.6789121	2.802969
120	-2112.431	-2417.313	304.8817	1.454359	2.521248	0.6784775	3.119182
126	-2114.41	-2419.942	305.5324	1.329218	2.073293	0.5911039	3.019164
132	-2106.526	-2413.277	306.751	1.540067	1.724639	0.6634229	2.202521
138	-2107.231	-2413.2	305.9696	1.53585	1.735904	0.710289	2.653933
144	-2105.568	-2413.047	307.4795	1.857887	2.520409	0.6812162	1.092188
150	-2120.813	-2424.901	304.0882	1.28737	1.880099	0.3841667	4.154578
156	-2123.917	-2427.926	304.0092	1.332873	2.246725	0.3072291	4.147245
162	-2098.935	-2405.533	306.5976	1.525001	2.95815	0.5081919	2.038496
168	-2096.65	-2402.967	306.3174	1.340294	2.342657	0.536725	2.493746
174	-2112.865	-2418.491	305.6262	1.477579	3.888611	0.308355	2.702302
180	-2116.645	-2422.642	305.9972	1.477579	2.6446	0.4699046	2.583489
186	-2104.994	-2410.319	305.3246	1.466828	2.500439	0.4126262	3.103063
192	-2099.503	-2403.678	304.1744	1.282526	1.972903	0.4191805	4.037995
198	-2097.973	-2401.795	303.8227	1.330586	2.620223	0.2356659	4.248874
204	-2097.588	-2401.637	304.0491	1.415915	1.858584	0.3602277	4.13886
210	-2102.051	-2407.778	305.7274	1.61894	2.039487	0.3789499	2.956828
216	-2105.801	-2412.782	306.9811	1.823058	1.3958	0.3002349	2.428733
222	-2100.524	-2407.897	307.3725	1.810643	1.799552	0.3563521	1.91776
228	-2107.103	-2413.551	306.4479	1.482255	2.118783	0.5356663	2.399311
234	-2112.409	-2418.917	306.508	1.555574	1.943643	0.5157079	2.399311
240	-2114.89	-2420.999	306.1091	1.42293	1.912584	0.6718371	2.59988
246	-2111.889	-2418.269	306.3797	1.593076	1.91759	0.4858025	2.497257
252	-2108.59	-2414.705	306.1154	1.494838	2.096618	0.4522511	2.69286
258	-2110.862	-2415.87	305.008	1.351537	2.781956	0.5145941	3.175197
264	-2106.464	-2411.158	304.694	1.305367	2.249577	0.2934951	3.788603
270	-2104.042	-2409.425	305.3831	1.401873	2.590165	0.3269211	3.184845
276	-2102.705	-2407.088	304.3828	1.403179	2.521293	0.3894598	3.712661
282	-2111.896	-2415.011	303.115	1.350586	1.503471	0.2610565	4.962366
288	-2110.688	-2414.384	303.696	1.156764	1.826496	0.3799035	4.473944
294	-2113.639	-2419.295	305.6557	1.397469	2.406776	0.4720668	2.90994
300	-2096.013	-2401.913	305.8999	1.378013	2.650697	0.4635751	2.709807
306	-2095.748	-2399.598	303.8498	1.243219	2.362637	0.3937014	4.150491
312	-2106.289	-2412.309	306.0198	1.243219	3.899849	0.3410289	2.556942
318	-2099.241	-2405.026	305.7854	1.44383	3.109943	0.3410289	2.760605
324	-2102.133	-2406.698	304.5642	1.124964	3.161377	0.491057	3.496701
330	-2104.073	-2408.931	304.8582	1.126652	3.806986	0.331809	3.358399
336	-2102.274	-2406.926	304.6522	1.453981	3.225547	0.2474966	3.532668
342	-2087.831	-2393.299	305.4677	1.471158	3.305986	0.3217129	2.914554
348	-2087.486	-2394.397	306.9118	1.699347	2.515281	0.3318216	2.06876
